task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	56/a91a0c	409082	MARSQ_MAP_ONLY:ConcatenateGenomes	CACHED	0	2023-11-13 17:50:18.122	29.6s	309ms	65.9%	4.8 MB	19.9 MB	408.5 MB	408.4 MB
2	1a/082644	409083	MARSQ_MAP_ONLY:BBMAP_INDEX (concatenated_reference.fasta)	CACHED	0	2023-11-13 17:50:47.976	2m 10s	1m 37s	192.2%	3.8 GB	9.3 GB	411.6 MB	1.7 GB
3	b9/e016e3	409086	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_April2023_S32)	CACHED	0	2023-11-13 17:52:58.893	1h 40m 59s	13m 24s	4554.7%	63.1 GB	109.7 GB	40.1 GB	39.2 GB
4	c5/0b87a6	409087	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_April2023_S48)	CACHED	0	2023-11-13 17:52:58.931	1h 49m 9s	21m 29s	4632.8%	63.1 GB	109.7 GB	64.5 GB	62.9 GB
5	5a/adf12b	410761	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-04-04_S62)	CACHED	0	2023-11-14 13:38:32.762	12m 9s	12m 7s	4586.8%	63.1 GB	109.6 GB	29.6 GB	28.6 GB
6	b5/149fea	409189	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_April2023_S32)	CACHED	0	2023-11-13 19:33:58.586	10m 59s	1m 41s	769.4%	10.2 GB	12.1 GB	11.6 GB	10.4 GB
7	49/4892bf	409191	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_April2023_S48)	CACHED	0	2023-11-13 19:42:08.089	7m 10s	2m 33s	827.9%	10.2 GB	11.9 GB	18.7 GB	17.8 GB
8	d9/31caac	410760	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-03-28_S61)	CACHED	0	2023-11-14 13:38:32.728	13m 29s	13m 19s	4608.0%	63 GB	109.5 GB	39.1 GB	38.4 GB
9	12/8eb53f	410762	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-04-18_S64)	CACHED	0	2023-11-14 13:38:32.807	18m 19s	18m 12s	4545.4%	63.1 GB	109.7 GB	46 GB	45.4 GB
12	7b/86e81b	409197	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_April2023_S32)	CACHED	0	2023-11-13 19:44:58.703	49.2s	35s	141.3%	16.2 MB	220.9 MB	5.1 GB	1.2 MB
14	40/901359	409205	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_April2023_S48)	CACHED	0	2023-11-13 19:49:18.051	1m 30s	57s	135.6%	16.1 MB	220.9 MB	8.9 GB	1.1 MB
10	1a/967db6	410776	MARSQ_MAP_ONLY:SAMTOOLS_SORT (YBTML_2023-04-04_S62)	COMPLETED	0	2023-11-14 14:10:39.450	1m 19s	1m 10s	779.3%	10.2 GB	12 GB	8.3 GB	7.3 GB
15	65/19d214	410778	MARSQ_MAP_ONLY:SAMTOOLS_SORT (YBTML_2023-03-28_S61)	COMPLETED	0	2023-11-14 14:10:39.561	1m 39s	1m 37s	780.6%	10.2 GB	12.1 GB	11.7 GB	10.3 GB
16	f1/6b9e67	410780	MARSQ_MAP_ONLY:SAMTOOLS_SORT (YBTML_2023-04-18_S64)	COMPLETED	0	2023-11-14 14:10:39.630	1m 49s	1m 48s	800.3%	10.2 GB	12.1 GB	12.8 GB	11.2 GB
18	5b/71f306	410781	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (YBTML_2023-04-04_S62)	COMPLETED	0	2023-11-14 14:11:58.644	29.9s	25s	137.3%	16.1 MB	220.9 MB	3.7 GB	1.2 MB
20	a2/e4b83f	410783	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (YBTML_2023-03-28_S61)	COMPLETED	0	2023-11-14 14:12:18.625	39.9s	32s	138.5%	16.3 MB	220.9 MB	4.9 GB	1.3 MB
13	7f/163037	410779	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_April2023_S48)	COMPLETED	0	2023-11-14 14:10:39.589	2m 29s	2m 21s	160.9%	36.3 MB	1 GB	17.9 GB	17.5 GB
22	41/08eb89	410786	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (YBTML_2023-04-18_S64)	COMPLETED	0	2023-11-14 14:12:28.658	49.9s	38s	138.5%	16.8 MB	220.9 MB	5.8 GB	1.3 MB
11	c7/1967b5	410777	MARSQ_MAP_ONLY:SplitBamAndStats (FF_April2023_S32)	COMPLETED	0	2023-11-14 14:10:39.510	3m 29s	3m 23s	129.6%	35.5 MB	1.1 GB	18.8 GB	26.7 GB
17	5c/80deb1	410782	MARSQ_MAP_ONLY:SplitBamAndStats (YBTML_2023-04-04_S62)	COMPLETED	0	2023-11-14 14:11:58.709	2m 50s	2m 43s	126.3%	30.8 MB	963.3 MB	15.2 GB	22.2 GB
19	64/b846f1	410784	MARSQ_MAP_ONLY:SplitBamAndStats (YBTML_2023-03-28_S61)	COMPLETED	0	2023-11-14 14:12:18.702	4m	3m 46s	123.0%	37 MB	911.2 MB	21 GB	30.9 GB
21	0c/55ab79	410787	MARSQ_MAP_ONLY:SplitBamAndStats (YBTML_2023-04-18_S64)	COMPLETED	0	2023-11-14 14:12:28.839	4m 30s	4m 16s	124.9%	26.6 MB	1.1 GB	23.8 GB	34.8 GB
